id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
405151,2022-01-01,sábado,01:35:00,PI,316.0,415,MARCOLANDIA,Ingestão de álcool pelo condutor,Colisão traseira,,Plena Noite,Decrescente,Nublado,Simples,Reta,Sim,3.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,"-7,43280012","-40,68261908",SPRF-PI,DEL04-PI,UOP03-DEL04-PI
405158,2022-01-01,sábado,02:40:00,PR,116.0,33,CAMPINA GRANDE DO SUL,Ingestão de álcool pelo condutor,Tombamento,Com Vítimas Fatais,Pleno dia,Decrescente,Nublado,Dupla,Curva,Não,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,"-25,114403","-48,8467554",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
405172,2022-01-01,sábado,05:22:00,MS,163.0,393,NOVA ALVORADA DO SUL,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Aclive,Não,3.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,"-21,228445","-54,456296",SPRF-MS,DEL02-MS,UOP01-DEL02-MS
405203,2022-01-01,sábado,07:00:00,RJ,101.0,457,ANGRA DOS REIS,Reação tardia ou ineficiente do condutor,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Curva,Sim,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,"-23,03149804","-44,17715297",SPRF-RJ,DEL03-RJ,UOP03-DEL03-RJ
405207,2022-01-01,sábado,09:00:00,MG,40.0,"508,3",RIBEIRAO DAS NEVES,Acumulo de água sobre o pavimento,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Sim,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,"-19,76061249","-44,1347544",SPRF-MG,DEL02-MG,UOP01-DEL02-MG
405213,2022-01-01,sábado,09:00:00,PB,116.0,"8,7",CACHOEIRA DOS INDIOS,Mal súbito do condutor,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,"-6,964668","-38,727608",SPRF-CE,DEL05-CE,UOP03-DEL05-CE
405221,2022-01-01,sábado,10:20:00,MG,40.0,"452,2",CAETANOPOLIS,Chuva,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Declive,Não,4.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,"-19,33382121","-44,36107939",SPRF-MG,DEL02-MG,UOP01-DEL02-MG
405234,2022-01-01,sábado,08:05:00,SC,163.0,"80,1",GUARACIABA,Ausência de reação do condutor,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Declive;Curva,Não,4.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,"-26,65043908","-53,5185463",SPRF-SC,DEL07-SC,UOP03-DEL07-SC
405247,2022-01-01,sábado,12:20:00,SC,101.0,"139,7",BALNEARIO CAMBORIU,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Aclive,Não,5.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,"-27,02982303","-48,60115006",SPRF-SC,DEL04-SC,UOP03-DEL04-SC
405254,2022-01-01,sábado,14:15:00,CE,116.0,"415,4",IPAUMIRIM,Manobra de mudança de faixa,Colisão frontal,Com Vítimas Fatais,Pleno dia,Decrescente,Nublado,Simples,Reta,Não,3.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,"-6,741404","-38,792746",SPRF-CE,DEL05-CE,UOP01-DEL05-CE
